[2025-07-09 20:51:49] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:49] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:49] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:49] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:50] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:50] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:50] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:50] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:50] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:50] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:50] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:50] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:51] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:51] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:51] Deleted Log - Owner: یییی | Car: None | Unit: None | Tag: 2 | Status: successful
[2025-07-09 20:51:51] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:51] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:51] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:51] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:51] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:51] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:52] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:52] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:52] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:52] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: traffic
[2025-07-09 20:51:52] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: successful
[2025-07-09 20:51:52] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: noactive
[2025-07-09 20:51:52] Deleted Log - Owner: fdasf | Car: None | Unit: None | Tag: 1 | Status: noactive
[2025-07-09 20:51:52] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:53] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:53] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:53] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:53] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:53] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:53] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:53] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:53] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:54] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:54] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:54] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:54] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:54] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:54] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:54] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:54] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:55] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:55] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:55] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:55] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:55] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:55] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:55] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:56] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:56] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:56] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:56] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:56] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:56] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:56] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:56] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:57] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:57] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:57] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: successful
[2025-07-09 20:51:57] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: successful
[2025-07-09 20:51:57] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: successful
[2025-07-09 20:51:57] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: successful
[2025-07-09 20:51:57] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: successful
[2025-07-09 20:51:57] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: successful
[2025-07-09 20:51:57] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: successful
[2025-07-09 20:51:58] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:58] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: successful
[2025-07-09 20:51:58] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: successful
[2025-07-09 20:51:58] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:58] Deleted Log - Owner: داریوش جمشیدی | Car: ارس-۷۴۵۶۷ | Unit: آ شرقی | Tag: 2 | Status: traffic
[2025-07-09 20:51:58] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:58] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:58] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:58] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:51:59] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:52:00] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:52:00] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:52:00] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:52:00] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:52:00] Deleted Log - Owner: شاهرخ مستقیمی | Car: ایران۲۵-۱۲ل۷۲۳ | Unit: آ شرقی | Tag: 1 | Status: successful
[2025-07-09 20:52:00] Deleted Log - Owner: مهران عیوض زاده | Car: 22ل5988ایران جک | Unit: None | Tag: 2 | Status: successful
